"","Id","ActivityHour","...1.x","Calories","...1.y","TotalIntensity","AverageIntensity","...1","StepTotal"
"1",1503960366,2016-04-12 00:00:00,1,81,1,20,0.333333,1,373
"2",1503960366,2016-04-12 01:00:00,2,61,2,8,0.133333,2,160
"3",1503960366,2016-04-12 02:00:00,3,59,3,7,0.116667,3,151
"4",1503960366,2016-04-12 03:00:00,4,47,4,0,0,4,0
"5",1503960366,2016-04-12 04:00:00,5,48,5,0,0,5,0
"6",1503960366,2016-04-12 05:00:00,6,48,6,0,0,6,0
"7",1503960366,2016-04-12 06:00:00,7,48,7,0,0,7,0
"8",1503960366,2016-04-12 07:00:00,8,47,8,0,0,8,0
"9",1503960366,2016-04-12 08:00:00,9,68,9,13,0.216667,9,250
"10",1503960366,2016-04-12 09:00:00,10,141,10,30,0.5,10,1864
"11",1503960366,2016-04-12 10:00:00,11,99,11,29,0.483333,11,676
"12",1503960366,2016-04-12 11:00:00,12,76,12,12,0.2,12,360
"13",1503960366,2016-04-12 12:00:00,13,73,13,11,0.183333,13,253
"14",1503960366,2016-04-12 13:00:00,14,66,14,6,0.1,14,221
"15",1503960366,2016-04-12 14:00:00,15,110,15,36,0.6,15,1166
"16",1503960366,2016-04-12 15:00:00,16,151,16,58,0.966667,16,2063
"17",1503960366,2016-04-12 16:00:00,17,76,17,13,0.216667,17,344
"18",1503960366,2016-04-12 17:00:00,18,83,18,16,0.266667,18,489
"19",1503960366,2016-04-12 18:00:00,19,124,19,29,0.483333,19,1386
"20",1503960366,2016-04-12 19:00:00,20,104,20,39,0.65,20,558
"21",1503960366,2016-04-12 20:00:00,21,132,21,41,0.683333,21,1733
"22",1503960366,2016-04-12 21:00:00,22,100,22,31,0.516667,22,684
"23",1503960366,2016-04-12 22:00:00,23,65,23,9,0.15,23,89
"24",1503960366,2016-04-12 23:00:00,24,81,24,21,0.35,24,338
"25",1503960366,2016-04-13 00:00:00,25,69,25,14,0.233333,25,144
"26",1503960366,2016-04-13 01:00:00,26,48,26,0,0,26,0
"27",1503960366,2016-04-13 02:00:00,27,47,27,0,0,27,0
"28",1503960366,2016-04-13 03:00:00,28,53,28,4,0.066667,28,36
"29",1503960366,2016-04-13 04:00:00,29,47,29,0,0,29,0
"30",1503960366,2016-04-13 05:00:00,30,47,30,0,0,30,0
"31",1503960366,2016-04-13 06:00:00,31,48,31,0,0,31,0
"32",1503960366,2016-04-13 07:00:00,32,59,32,8,0.133333,32,126
"33",1503960366,2016-04-13 08:00:00,33,69,33,12,0.2,33,275
"34",1503960366,2016-04-13 09:00:00,34,136,34,27,0.45,34,1679
"35",1503960366,2016-04-13 10:00:00,35,77,35,15,0.25,35,295
"36",1503960366,2016-04-13 11:00:00,36,84,36,16,0.266667,36,524
"37",1503960366,2016-04-13 12:00:00,37,82,37,15,0.25,37,486
"38",1503960366,2016-04-13 13:00:00,38,72,38,10,0.166667,38,302
"39",1503960366,2016-04-13 14:00:00,39,128,39,46,0.766667,39,1577
"40",1503960366,2016-04-13 15:00:00,40,79,40,13,0.216667,40,493
"41",1503960366,2016-04-13 16:00:00,41,71,41,10,0.166667,41,299
"42",1503960366,2016-04-13 17:00:00,42,87,42,23,0.383333,42,695
"43",1503960366,2016-04-13 18:00:00,43,118,43,25,0.416667,43,1343
"44",1503960366,2016-04-13 19:00:00,44,73,44,13,0.216667,44,258
"45",1503960366,2016-04-13 20:00:00,45,47,45,0,0,45,0
"46",1503960366,2016-04-13 21:00:00,46,48,46,0,0,46,0
"47",1503960366,2016-04-13 22:00:00,47,74,47,11,0.183333,47,437
"48",1503960366,2016-04-13 23:00:00,48,135,48,56,0.933333,48,1766
"49",1503960366,2016-04-14 00:00:00,49,56,49,4,0.066667,49,81
"50",1503960366,2016-04-14 01:00:00,50,54,50,3,0.05,50,58
"51",1503960366,2016-04-14 02:00:00,51,47,51,0,0,51,0
"52",1503960366,2016-04-14 03:00:00,52,47,52,0,0,52,0
"53",1503960366,2016-04-14 04:00:00,53,47,53,0,0,53,0
"54",1503960366,2016-04-14 05:00:00,54,47,54,0,0,54,0
"55",1503960366,2016-04-14 06:00:00,55,47,55,0,0,55,0
"56",1503960366,2016-04-14 07:00:00,56,47,56,0,0,56,0
"57",1503960366,2016-04-14 08:00:00,57,47,57,0,0,57,0
"58",1503960366,2016-04-14 09:00:00,58,93,58,14,0.233333,58,902
"59",1503960366,2016-04-14 10:00:00,59,109,59,23,0.383333,59,1106
"60",1503960366,2016-04-14 11:00:00,60,64,60,7,0.116667,60,50
"61",1503960366,2016-04-14 12:00:00,61,85,61,18,0.3,61,501
"62",1503960366,2016-04-14 13:00:00,62,137,62,54,0.9,62,1779
"63",1503960366,2016-04-14 14:00:00,63,113,63,22,0.366667,63,1228
"64",1503960366,2016-04-14 15:00:00,64,66,64,7,0.116667,64,139
"65",1503960366,2016-04-14 16:00:00,65,88,65,25,0.416667,65,408
"66",1503960366,2016-04-14 17:00:00,66,61,66,5,0.083333,66,37
"67",1503960366,2016-04-14 18:00:00,67,72,67,12,0.2,67,322
"68",1503960366,2016-04-14 19:00:00,68,55,68,1,0.016667,68,11
"69",1503960366,2016-04-14 20:00:00,69,91,69,24,0.4,69,806
"70",1503960366,2016-04-14 21:00:00,70,174,70,57,0.95,70,2670
"71",1503960366,2016-04-14 22:00:00,71,79,71,17,0.283333,71,362
"72",1503960366,2016-04-14 23:00:00,72,50,72,0,0,72,0
"73",1503960366,2016-04-15 00:00:00,73,60,73,6,0.1,73,83
"74",1503960366,2016-04-15 01:00:00,74,58,74,5,0.083333,74,75
"75",1503960366,2016-04-15 02:00:00,75,59,75,7,0.116667,75,124
"76",1503960366,2016-04-15 03:00:00,76,47,76,0,0,76,0
"77",1503960366,2016-04-15 04:00:00,77,47,77,0,0,77,0
"78",1503960366,2016-04-15 05:00:00,78,49,78,1,0.016667,78,26
"79",1503960366,2016-04-15 06:00:00,79,47,79,0,0,79,0
"80",1503960366,2016-04-15 07:00:00,80,49,80,1,0.016667,80,7
"81",1503960366,2016-04-15 08:00:00,81,54,81,5,0.083333,81,55
"82",1503960366,2016-04-15 09:00:00,82,50,82,2,0.033333,82,21
"83",1503960366,2016-04-15 10:00:00,83,63,83,8,0.133333,83,154
"84",1503960366,2016-04-15 11:00:00,84,84,84,23,0.383333,84,425
"85",1503960366,2016-04-15 12:00:00,85,74,85,13,0.216667,85,270
"86",1503960366,2016-04-15 13:00:00,86,67,86,9,0.15,86,373
"87",1503960366,2016-04-15 14:00:00,87,47,87,0,0,87,0
"88",1503960366,2016-04-15 15:00:00,88,47,88,0,0,88,0
"89",1503960366,2016-04-15 16:00:00,89,47,89,0,0,89,0
"90",1503960366,2016-04-15 17:00:00,90,140,90,47,0.783333,90,1774
"91",1503960366,2016-04-15 18:00:00,91,87,91,22,0.366667,91,509
"92",1503960366,2016-04-15 19:00:00,92,97,92,32,0.533333,92,519
"93",1503960366,2016-04-15 20:00:00,93,64,93,8,0.133333,93,77
"94",1503960366,2016-04-15 21:00:00,94,75,94,14,0.233333,94,280
"95",1503960366,2016-04-15 22:00:00,95,151,95,66,1.1,95,2145
"96",1503960366,2016-04-15 23:00:00,96,182,96,95,1.583333,96,2768
"97",1503960366,2016-04-16 00:00:00,97,77,97,15,0.25,97,459
"98",1503960366,2016-04-16 01:00:00,98,48,98,0,0,98,0
"99",1503960366,2016-04-16 02:00:00,99,52,99,3,0.05,99,63
"100",1503960366,2016-04-16 03:00:00,100,48,100,1,0.016667,100,6
"101",1503960366,2016-04-16 04:00:00,101,49,101,1,0.016667,101,6
"102",1503960366,2016-04-16 05:00:00,102,49,102,1,0.016667,102,12
"103",1503960366,2016-04-16 06:00:00,103,48,103,0,0,103,0
"104",1503960366,2016-04-16 07:00:00,104,54,104,4,0.066667,104,101
"105",1503960366,2016-04-16 08:00:00,105,62,105,9,0.15,105,175
"106",1503960366,2016-04-16 09:00:00,106,124,106,38,0.633333,106,1181
"107",1503960366,2016-04-16 10:00:00,107,110,107,14,0.233333,107,1295
"108",1503960366,2016-04-16 11:00:00,108,147,108,30,0.5,108,2043
"109",1503960366,2016-04-16 12:00:00,109,119,109,42,0.7,109,1513
"110",1503960366,2016-04-16 13:00:00,110,214,110,90,1.5,110,3616
"111",1503960366,2016-04-16 14:00:00,111,82,111,20,0.333333,111,580
"112",1503960366,2016-04-16 15:00:00,112,51,112,0,0,112,0
"113",1503960366,2016-04-16 16:00:00,113,54,113,2,0.033333,113,15
"114",1503960366,2016-04-16 17:00:00,114,79,114,17,0.283333,114,380
"115",1503960366,2016-04-16 18:00:00,115,65,115,10,0.166667,115,96
"116",1503960366,2016-04-16 19:00:00,116,67,116,12,0.2,116,146
"117",1503960366,2016-04-16 20:00:00,117,81,117,19,0.316667,117,385
"118",1503960366,2016-04-16 21:00:00,118,75,118,13,0.216667,118,463
"119",1503960366,2016-04-16 22:00:00,119,55,119,3,0.05,119,42
"120",1503960366,2016-04-16 23:00:00,120,56,120,5,0.083333,120,92
"121",1503960366,2016-04-17 00:00:00,121,47,121,0,0,121,0
