"","Id","ActivityHour","Calories"
"1",1503960366,2016-04-12 00:00:00,81
"2",1503960366,2016-04-12 01:00:00,61
"3",1503960366,2016-04-12 02:00:00,59
"4",1503960366,2016-04-12 03:00:00,47
"5",1503960366,2016-04-12 04:00:00,48
"6",1503960366,2016-04-12 05:00:00,48
"7",1503960366,2016-04-12 06:00:00,48
"8",1503960366,2016-04-12 07:00:00,47
"9",1503960366,2016-04-12 08:00:00,68
"10",1503960366,2016-04-12 09:00:00,141
"11",1503960366,2016-04-12 10:00:00,99
"12",1503960366,2016-04-12 11:00:00,76
"13",1503960366,2016-04-12 12:00:00,73
"14",1503960366,2016-04-12 13:00:00,66
"15",1503960366,2016-04-12 14:00:00,110
"16",1503960366,2016-04-12 15:00:00,151
"17",1503960366,2016-04-12 16:00:00,76
"18",1503960366,2016-04-12 17:00:00,83
"19",1503960366,2016-04-12 18:00:00,124
"20",1503960366,2016-04-12 19:00:00,104
"21",1503960366,2016-04-12 20:00:00,132
"22",1503960366,2016-04-12 21:00:00,100
"23",1503960366,2016-04-12 22:00:00,65
"24",1503960366,2016-04-12 23:00:00,81
"25",1503960366,2016-04-13 00:00:00,69
"26",1503960366,2016-04-13 01:00:00,48
"27",1503960366,2016-04-13 02:00:00,47
"28",1503960366,2016-04-13 03:00:00,53
"29",1503960366,2016-04-13 04:00:00,47
"30",1503960366,2016-04-13 05:00:00,47
"31",1503960366,2016-04-13 06:00:00,48
"32",1503960366,2016-04-13 07:00:00,59
"33",1503960366,2016-04-13 08:00:00,69
"34",1503960366,2016-04-13 09:00:00,136
"35",1503960366,2016-04-13 10:00:00,77
"36",1503960366,2016-04-13 11:00:00,84
"37",1503960366,2016-04-13 12:00:00,82
"38",1503960366,2016-04-13 13:00:00,72
"39",1503960366,2016-04-13 14:00:00,128
"40",1503960366,2016-04-13 15:00:00,79
"41",1503960366,2016-04-13 16:00:00,71
"42",1503960366,2016-04-13 17:00:00,87
"43",1503960366,2016-04-13 18:00:00,118
"44",1503960366,2016-04-13 19:00:00,73
"45",1503960366,2016-04-13 20:00:00,47
"46",1503960366,2016-04-13 21:00:00,48
"47",1503960366,2016-04-13 22:00:00,74
"48",1503960366,2016-04-13 23:00:00,135
"49",1503960366,2016-04-14 00:00:00,56
"50",1503960366,2016-04-14 01:00:00,54
"51",1503960366,2016-04-14 02:00:00,47
"52",1503960366,2016-04-14 03:00:00,47
"53",1503960366,2016-04-14 04:00:00,47
"54",1503960366,2016-04-14 05:00:00,47
"55",1503960366,2016-04-14 06:00:00,47
"56",1503960366,2016-04-14 07:00:00,47
"57",1503960366,2016-04-14 08:00:00,47
"58",1503960366,2016-04-14 09:00:00,93
"59",1503960366,2016-04-14 10:00:00,109
"60",1503960366,2016-04-14 11:00:00,64
"61",1503960366,2016-04-14 12:00:00,85
"62",1503960366,2016-04-14 13:00:00,137
"63",1503960366,2016-04-14 14:00:00,113
"64",1503960366,2016-04-14 15:00:00,66
"65",1503960366,2016-04-14 16:00:00,88
"66",1503960366,2016-04-14 17:00:00,61
"67",1503960366,2016-04-14 18:00:00,72
"68",1503960366,2016-04-14 19:00:00,55
"69",1503960366,2016-04-14 20:00:00,91
"70",1503960366,2016-04-14 21:00:00,174
"71",1503960366,2016-04-14 22:00:00,79
"72",1503960366,2016-04-14 23:00:00,50
"73",1503960366,2016-04-15 00:00:00,60
"74",1503960366,2016-04-15 01:00:00,58
"75",1503960366,2016-04-15 02:00:00,59
"76",1503960366,2016-04-15 03:00:00,47
"77",1503960366,2016-04-15 04:00:00,47
"78",1503960366,2016-04-15 05:00:00,49
"79",1503960366,2016-04-15 06:00:00,47
"80",1503960366,2016-04-15 07:00:00,49
"81",1503960366,2016-04-15 08:00:00,54
"82",1503960366,2016-04-15 09:00:00,50
"83",1503960366,2016-04-15 10:00:00,63
"84",1503960366,2016-04-15 11:00:00,84
"85",1503960366,2016-04-15 12:00:00,74
"86",1503960366,2016-04-15 13:00:00,67
"87",1503960366,2016-04-15 14:00:00,47
"88",1503960366,2016-04-15 15:00:00,47
"89",1503960366,2016-04-15 16:00:00,47
"90",1503960366,2016-04-15 17:00:00,140
"91",1503960366,2016-04-15 18:00:00,87
"92",1503960366,2016-04-15 19:00:00,97
"93",1503960366,2016-04-15 20:00:00,64
"94",1503960366,2016-04-15 21:00:00,75
"95",1503960366,2016-04-15 22:00:00,151
"96",1503960366,2016-04-15 23:00:00,182
"97",1503960366,2016-04-16 00:00:00,77
"98",1503960366,2016-04-16 01:00:00,48
"99",1503960366,2016-04-16 02:00:00,52
"100",1503960366,2016-04-16 03:00:00,48
"101",1503960366,2016-04-16 04:00:00,49
"102",1503960366,2016-04-16 05:00:00,49
"103",1503960366,2016-04-16 06:00:00,48
"104",1503960366,2016-04-16 07:00:00,54
"105",1503960366,2016-04-16 08:00:00,62
"106",1503960366,2016-04-16 09:00:00,124
"107",1503960366,2016-04-16 10:00:00,110
"108",1503960366,2016-04-16 11:00:00,147
"109",1503960366,2016-04-16 12:00:00,119
"110",1503960366,2016-04-16 13:00:00,214
"111",1503960366,2016-04-16 14:00:00,82
"112",1503960366,2016-04-16 15:00:00,51
"113",1503960366,2016-04-16 16:00:00,54
"114",1503960366,2016-04-16 17:00:00,79
"115",1503960366,2016-04-16 18:00:00,65
"116",1503960366,2016-04-16 19:00:00,67
"117",1503960366,2016-04-16 20:00:00,81
"118",1503960366,2016-04-16 21:00:00,75
"119",1503960366,2016-04-16 22:00:00,55
"120",1503960366,2016-04-16 23:00:00,56
"121",1503960366,2016-04-17 00:00:00,47
"122",1503960366,2016-04-17 01:00:00,48
"123",1503960366,2016-04-17 02:00:00,47
"124",1503960366,2016-04-17 03:00:00,49
"125",1503960366,2016-04-17 04:00:00,48
"126",1503960366,2016-04-17 05:00:00,48
"127",1503960366,2016-04-17 06:00:00,48
"128",1503960366,2016-04-17 07:00:00,48
"129",1503960366,2016-04-17 08:00:00,48
"130",1503960366,2016-04-17 09:00:00,48
"131",1503960366,2016-04-17 10:00:00,47
"132",1503960366,2016-04-17 11:00:00,63
"133",1503960366,2016-04-17 12:00:00,76
"134",1503960366,2016-04-17 13:00:00,83
"135",1503960366,2016-04-17 14:00:00,69
"136",1503960366,2016-04-17 15:00:00,73
"137",1503960366,2016-04-17 16:00:00,57
"138",1503960366,2016-04-17 17:00:00,174
"139",1503960366,2016-04-17 18:00:00,136
"140",1503960366,2016-04-17 19:00:00,95
"141",1503960366,2016-04-17 20:00:00,191
"142",1503960366,2016-04-17 21:00:00,79
"143",1503960366,2016-04-17 22:00:00,58
"144",1503960366,2016-04-17 23:00:00,50
"145",1503960366,2016-04-18 00:00:00,82
"146",1503960366,2016-04-18 01:00:00,48
"147",1503960366,2016-04-18 02:00:00,47
"148",1503960366,2016-04-18 03:00:00,47
"149",1503960366,2016-04-18 04:00:00,47
"150",1503960366,2016-04-18 05:00:00,47
"151",1503960366,2016-04-18 06:00:00,47
"152",1503960366,2016-04-18 07:00:00,47
"153",1503960366,2016-04-18 08:00:00,47
"154",1503960366,2016-04-18 09:00:00,133
"155",1503960366,2016-04-18 10:00:00,81
"156",1503960366,2016-04-18 11:00:00,73
"157",1503960366,2016-04-18 12:00:00,118
"158",1503960366,2016-04-18 13:00:00,70
"159",1503960366,2016-04-18 14:00:00,64
"160",1503960366,2016-04-18 15:00:00,80
"161",1503960366,2016-04-18 16:00:00,78
"162",1503960366,2016-04-18 17:00:00,79
"163",1503960366,2016-04-18 18:00:00,234
"164",1503960366,2016-04-18 19:00:00,157
"165",1503960366,2016-04-18 20:00:00,57
"166",1503960366,2016-04-18 21:00:00,68
"167",1503960366,2016-04-18 22:00:00,86
"168",1503960366,2016-04-18 23:00:00,83
"169",1503960366,2016-04-19 00:00:00,47
"170",1503960366,2016-04-19 01:00:00,49
"171",1503960366,2016-04-19 02:00:00,47
"172",1503960366,2016-04-19 03:00:00,50
"173",1503960366,2016-04-19 04:00:00,47
"174",1503960366,2016-04-19 05:00:00,47
"175",1503960366,2016-04-19 06:00:00,49
"176",1503960366,2016-04-19 07:00:00,75
"177",1503960366,2016-04-19 08:00:00,130
"178",1503960366,2016-04-19 09:00:00,79
"179",1503960366,2016-04-19 10:00:00,75
"180",1503960366,2016-04-19 11:00:00,72
"181",1503960366,2016-04-19 12:00:00,143
"182",1503960366,2016-04-19 13:00:00,171
"183",1503960366,2016-04-19 14:00:00,76
"184",1503960366,2016-04-19 15:00:00,72
"185",1503960366,2016-04-19 16:00:00,71
"186",1503960366,2016-04-19 17:00:00,90
"187",1503960366,2016-04-19 18:00:00,120
"188",1503960366,2016-04-19 19:00:00,93
"189",1503960366,2016-04-19 20:00:00,159
"190",1503960366,2016-04-19 21:00:00,94
"191",1503960366,2016-04-19 22:00:00,58
"192",1503960366,2016-04-19 23:00:00,120
"193",1503960366,2016-04-20 00:00:00,54
"194",1503960366,2016-04-20 01:00:00,53
"195",1503960366,2016-04-20 02:00:00,47
"196",1503960366,2016-04-20 03:00:00,48
"197",1503960366,2016-04-20 04:00:00,48
"198",1503960366,2016-04-20 05:00:00,47
"199",1503960366,2016-04-20 06:00:00,48
"200",1503960366,2016-04-20 07:00:00,51
"201",1503960366,2016-04-20 08:00:00,70
"202",1503960366,2016-04-20 09:00:00,144
"203",1503960366,2016-04-20 10:00:00,79
"204",1503960366,2016-04-20 11:00:00,58
"205",1503960366,2016-04-20 12:00:00,64
"206",1503960366,2016-04-20 13:00:00,61
"207",1503960366,2016-04-20 14:00:00,113
"208",1503960366,2016-04-20 15:00:00,97
"209",1503960366,2016-04-20 16:00:00,70
"210",1503960366,2016-04-20 17:00:00,57
"211",1503960366,2016-04-20 18:00:00,114
"212",1503960366,2016-04-20 19:00:00,117
"213",1503960366,2016-04-20 20:00:00,80
"214",1503960366,2016-04-20 21:00:00,83
"215",1503960366,2016-04-20 22:00:00,62
"216",1503960366,2016-04-20 23:00:00,120
"217",1503960366,2016-04-21 00:00:00,54
"218",1503960366,2016-04-21 01:00:00,61
"219",1503960366,2016-04-21 02:00:00,55
"220",1503960366,2016-04-21 03:00:00,48
"221",1503960366,2016-04-21 04:00:00,47
"222",1503960366,2016-04-21 05:00:00,47
"223",1503960366,2016-04-21 06:00:00,48
"224",1503960366,2016-04-21 07:00:00,52
"225",1503960366,2016-04-21 08:00:00,71
"226",1503960366,2016-04-21 09:00:00,133
"227",1503960366,2016-04-21 10:00:00,77
"228",1503960366,2016-04-21 11:00:00,55
"229",1503960366,2016-04-21 12:00:00,73
"230",1503960366,2016-04-21 13:00:00,113
"231",1503960366,2016-04-21 14:00:00,58
"232",1503960366,2016-04-21 15:00:00,68
"233",1503960366,2016-04-21 16:00:00,60
"234",1503960366,2016-04-21 17:00:00,60
"235",1503960366,2016-04-21 18:00:00,69
"236",1503960366,2016-04-21 19:00:00,64
"237",1503960366,2016-04-21 20:00:00,213
"238",1503960366,2016-04-21 21:00:00,104
"239",1503960366,2016-04-21 22:00:00,63
"240",1503960366,2016-04-21 23:00:00,84
"241",1503960366,2016-04-22 00:00:00,47
"242",1503960366,2016-04-22 01:00:00,47
"243",1503960366,2016-04-22 02:00:00,47
"244",1503960366,2016-04-22 03:00:00,47
"245",1503960366,2016-04-22 04:00:00,47
"246",1503960366,2016-04-22 05:00:00,47
"247",1503960366,2016-04-22 06:00:00,47
"248",1503960366,2016-04-22 07:00:00,47
"249",1503960366,2016-04-22 08:00:00,47
"250",1503960366,2016-04-22 09:00:00,65
"251",1503960366,2016-04-22 10:00:00,54
"252",1503960366,2016-04-22 11:00:00,102
"253",1503960366,2016-04-22 12:00:00,57
"254",1503960366,2016-04-22 13:00:00,60
"255",1503960366,2016-04-22 14:00:00,54
"256",1503960366,2016-04-22 15:00:00,66
"257",1503960366,2016-04-22 16:00:00,58
"258",1503960366,2016-04-22 17:00:00,104
"259",1503960366,2016-04-22 18:00:00,87
"260",1503960366,2016-04-22 19:00:00,82
"261",1503960366,2016-04-22 20:00:00,71
"262",1503960366,2016-04-22 21:00:00,311
"263",1503960366,2016-04-22 22:00:00,95
"264",1503960366,2016-04-22 23:00:00,136
"265",1503960366,2016-04-23 00:00:00,63
"266",1503960366,2016-04-23 01:00:00,47
"267",1503960366,2016-04-23 02:00:00,49
"268",1503960366,2016-04-23 03:00:00,47
"269",1503960366,2016-04-23 04:00:00,47
"270",1503960366,2016-04-23 05:00:00,48
"271",1503960366,2016-04-23 06:00:00,50
"272",1503960366,2016-04-23 07:00:00,48
"273",1503960366,2016-04-23 08:00:00,59
"274",1503960366,2016-04-23 09:00:00,75
"275",1503960366,2016-04-23 10:00:00,56
"276",1503960366,2016-04-23 11:00:00,84
"277",1503960366,2016-04-23 12:00:00,129
"278",1503960366,2016-04-23 13:00:00,129
"279",1503960366,2016-04-23 14:00:00,78
"280",1503960366,2016-04-23 15:00:00,73
"281",1503960366,2016-04-23 16:00:00,140
"282",1503960366,2016-04-23 17:00:00,121
"283",1503960366,2016-04-23 18:00:00,173
"284",1503960366,2016-04-23 19:00:00,51
"285",1503960366,2016-04-23 20:00:00,63
"286",1503960366,2016-04-23 21:00:00,162
"287",1503960366,2016-04-23 22:00:00,96
"288",1503960366,2016-04-23 23:00:00,60
"289",1503960366,2016-04-24 00:00:00,66
"290",1503960366,2016-04-24 01:00:00,54
"291",1503960366,2016-04-24 02:00:00,48
"292",1503960366,2016-04-24 03:00:00,48
"293",1503960366,2016-04-24 04:00:00,49
"294",1503960366,2016-04-24 05:00:00,48
"295",1503960366,2016-04-24 06:00:00,49
"296",1503960366,2016-04-24 07:00:00,47
"297",1503960366,2016-04-24 08:00:00,49
"298",1503960366,2016-04-24 09:00:00,59
"299",1503960366,2016-04-24 10:00:00,90
"300",1503960366,2016-04-24 11:00:00,67
"301",1503960366,2016-04-24 12:00:00,82
"302",1503960366,2016-04-24 13:00:00,74
"303",1503960366,2016-04-24 14:00:00,52
"304",1503960366,2016-04-24 15:00:00,52
"305",1503960366,2016-04-24 16:00:00,102
"306",1503960366,2016-04-24 17:00:00,86
"307",1503960366,2016-04-24 18:00:00,115
"308",1503960366,2016-04-24 19:00:00,270
"309",1503960366,2016-04-24 20:00:00,76
"310",1503960366,2016-04-24 21:00:00,74
"311",1503960366,2016-04-24 22:00:00,61
"312",1503960366,2016-04-24 23:00:00,72
"313",1503960366,2016-04-25 00:00:00,62
"314",1503960366,2016-04-25 01:00:00,53
"315",1503960366,2016-04-25 02:00:00,57
"316",1503960366,2016-04-25 03:00:00,47
