"","Id","ActivityHour","StepTotal"
"1",1503960366,2016-04-12 00:00:00,373
"2",1503960366,2016-04-12 01:00:00,160
"3",1503960366,2016-04-12 02:00:00,151
"4",1503960366,2016-04-12 03:00:00,0
"5",1503960366,2016-04-12 04:00:00,0
"6",1503960366,2016-04-12 05:00:00,0
"7",1503960366,2016-04-12 06:00:00,0
"8",1503960366,2016-04-12 07:00:00,0
"9",1503960366,2016-04-12 08:00:00,250
"10",1503960366,2016-04-12 09:00:00,1864
"11",1503960366,2016-04-12 10:00:00,676
"12",1503960366,2016-04-12 11:00:00,360
"13",1503960366,2016-04-12 12:00:00,253
"14",1503960366,2016-04-12 13:00:00,221
"15",1503960366,2016-04-12 14:00:00,1166
"16",1503960366,2016-04-12 15:00:00,2063
"17",1503960366,2016-04-12 16:00:00,344
"18",1503960366,2016-04-12 17:00:00,489
"19",1503960366,2016-04-12 18:00:00,1386
"20",1503960366,2016-04-12 19:00:00,558
"21",1503960366,2016-04-12 20:00:00,1733
"22",1503960366,2016-04-12 21:00:00,684
"23",1503960366,2016-04-12 22:00:00,89
"24",1503960366,2016-04-12 23:00:00,338
"25",1503960366,2016-04-13 00:00:00,144
"26",1503960366,2016-04-13 01:00:00,0
"27",1503960366,2016-04-13 02:00:00,0
"28",1503960366,2016-04-13 03:00:00,36
"29",1503960366,2016-04-13 04:00:00,0
"30",1503960366,2016-04-13 05:00:00,0
"31",1503960366,2016-04-13 06:00:00,0
"32",1503960366,2016-04-13 07:00:00,126
"33",1503960366,2016-04-13 08:00:00,275
"34",1503960366,2016-04-13 09:00:00,1679
"35",1503960366,2016-04-13 10:00:00,295
"36",1503960366,2016-04-13 11:00:00,524
"37",1503960366,2016-04-13 12:00:00,486
"38",1503960366,2016-04-13 13:00:00,302
"39",1503960366,2016-04-13 14:00:00,1577
"40",1503960366,2016-04-13 15:00:00,493
"41",1503960366,2016-04-13 16:00:00,299
"42",1503960366,2016-04-13 17:00:00,695
"43",1503960366,2016-04-13 18:00:00,1343
"44",1503960366,2016-04-13 19:00:00,258
"45",1503960366,2016-04-13 20:00:00,0
"46",1503960366,2016-04-13 21:00:00,0
"47",1503960366,2016-04-13 22:00:00,437
"48",1503960366,2016-04-13 23:00:00,1766
"49",1503960366,2016-04-14 00:00:00,81
"50",1503960366,2016-04-14 01:00:00,58
"51",1503960366,2016-04-14 02:00:00,0
"52",1503960366,2016-04-14 03:00:00,0
"53",1503960366,2016-04-14 04:00:00,0
"54",1503960366,2016-04-14 05:00:00,0
"55",1503960366,2016-04-14 06:00:00,0
"56",1503960366,2016-04-14 07:00:00,0
"57",1503960366,2016-04-14 08:00:00,0
"58",1503960366,2016-04-14 09:00:00,902
"59",1503960366,2016-04-14 10:00:00,1106
"60",1503960366,2016-04-14 11:00:00,50
"61",1503960366,2016-04-14 12:00:00,501
"62",1503960366,2016-04-14 13:00:00,1779
"63",1503960366,2016-04-14 14:00:00,1228
"64",1503960366,2016-04-14 15:00:00,139
"65",1503960366,2016-04-14 16:00:00,408
"66",1503960366,2016-04-14 17:00:00,37
"67",1503960366,2016-04-14 18:00:00,322
"68",1503960366,2016-04-14 19:00:00,11
"69",1503960366,2016-04-14 20:00:00,806
"70",1503960366,2016-04-14 21:00:00,2670
"71",1503960366,2016-04-14 22:00:00,362
"72",1503960366,2016-04-14 23:00:00,0
"73",1503960366,2016-04-15 00:00:00,83
"74",1503960366,2016-04-15 01:00:00,75
"75",1503960366,2016-04-15 02:00:00,124
"76",1503960366,2016-04-15 03:00:00,0
"77",1503960366,2016-04-15 04:00:00,0
"78",1503960366,2016-04-15 05:00:00,26
"79",1503960366,2016-04-15 06:00:00,0
"80",1503960366,2016-04-15 07:00:00,7
"81",1503960366,2016-04-15 08:00:00,55
"82",1503960366,2016-04-15 09:00:00,21
"83",1503960366,2016-04-15 10:00:00,154
"84",1503960366,2016-04-15 11:00:00,425
"85",1503960366,2016-04-15 12:00:00,270
"86",1503960366,2016-04-15 13:00:00,373
"87",1503960366,2016-04-15 14:00:00,0
"88",1503960366,2016-04-15 15:00:00,0
"89",1503960366,2016-04-15 16:00:00,0
"90",1503960366,2016-04-15 17:00:00,1774
"91",1503960366,2016-04-15 18:00:00,509
"92",1503960366,2016-04-15 19:00:00,519
"93",1503960366,2016-04-15 20:00:00,77
"94",1503960366,2016-04-15 21:00:00,280
"95",1503960366,2016-04-15 22:00:00,2145
"96",1503960366,2016-04-15 23:00:00,2768
"97",1503960366,2016-04-16 00:00:00,459
"98",1503960366,2016-04-16 01:00:00,0
"99",1503960366,2016-04-16 02:00:00,63
"100",1503960366,2016-04-16 03:00:00,6
"101",1503960366,2016-04-16 04:00:00,6
"102",1503960366,2016-04-16 05:00:00,12
"103",1503960366,2016-04-16 06:00:00,0
"104",1503960366,2016-04-16 07:00:00,101
"105",1503960366,2016-04-16 08:00:00,175
"106",1503960366,2016-04-16 09:00:00,1181
"107",1503960366,2016-04-16 10:00:00,1295
"108",1503960366,2016-04-16 11:00:00,2043
"109",1503960366,2016-04-16 12:00:00,1513
"110",1503960366,2016-04-16 13:00:00,3616
"111",1503960366,2016-04-16 14:00:00,580
"112",1503960366,2016-04-16 15:00:00,0
"113",1503960366,2016-04-16 16:00:00,15
"114",1503960366,2016-04-16 17:00:00,380
"115",1503960366,2016-04-16 18:00:00,96
"116",1503960366,2016-04-16 19:00:00,146
"117",1503960366,2016-04-16 20:00:00,385
"118",1503960366,2016-04-16 21:00:00,463
"119",1503960366,2016-04-16 22:00:00,42
"120",1503960366,2016-04-16 23:00:00,92
"121",1503960366,2016-04-17 00:00:00,0
"122",1503960366,2016-04-17 01:00:00,0
"123",1503960366,2016-04-17 02:00:00,0
"124",1503960366,2016-04-17 03:00:00,8
"125",1503960366,2016-04-17 04:00:00,0
"126",1503960366,2016-04-17 05:00:00,0
"127",1503960366,2016-04-17 06:00:00,0
"128",1503960366,2016-04-17 07:00:00,0
"129",1503960366,2016-04-17 08:00:00,0
"130",1503960366,2016-04-17 09:00:00,0
"131",1503960366,2016-04-17 10:00:00,0
"132",1503960366,2016-04-17 11:00:00,84
"133",1503960366,2016-04-17 12:00:00,260
"134",1503960366,2016-04-17 13:00:00,402
"135",1503960366,2016-04-17 14:00:00,252
"136",1503960366,2016-04-17 15:00:00,191
"137",1503960366,2016-04-17 16:00:00,13
"138",1503960366,2016-04-17 17:00:00,2613
"139",1503960366,2016-04-17 18:00:00,1616
"140",1503960366,2016-04-17 19:00:00,754
"141",1503960366,2016-04-17 20:00:00,2955
"142",1503960366,2016-04-17 21:00:00,487
"143",1503960366,2016-04-17 22:00:00,70
"144",1503960366,2016-04-17 23:00:00,0
"145",1503960366,2016-04-18 00:00:00,416
"146",1503960366,2016-04-18 01:00:00,0
"147",1503960366,2016-04-18 02:00:00,0
"148",1503960366,2016-04-18 03:00:00,0
"149",1503960366,2016-04-18 04:00:00,0
"150",1503960366,2016-04-18 05:00:00,0
"151",1503960366,2016-04-18 06:00:00,0
"152",1503960366,2016-04-18 07:00:00,0
"153",1503960366,2016-04-18 08:00:00,0
"154",1503960366,2016-04-18 09:00:00,1688
"155",1503960366,2016-04-18 10:00:00,380
"156",1503960366,2016-04-18 11:00:00,328
"157",1503960366,2016-04-18 12:00:00,1306
"158",1503960366,2016-04-18 13:00:00,268
"159",1503960366,2016-04-18 14:00:00,137
"160",1503960366,2016-04-18 15:00:00,495
"161",1503960366,2016-04-18 16:00:00,277
"162",1503960366,2016-04-18 17:00:00,304
"163",1503960366,2016-04-18 18:00:00,4074
"164",1503960366,2016-04-18 19:00:00,2101
"165",1503960366,2016-04-18 20:00:00,28
"166",1503960366,2016-04-18 21:00:00,187
"167",1503960366,2016-04-18 22:00:00,542
"168",1503960366,2016-04-18 23:00:00,488
"169",1503960366,2016-04-19 00:00:00,0
"170",1503960366,2016-04-19 01:00:00,22
"171",1503960366,2016-04-19 02:00:00,0
"172",1503960366,2016-04-19 03:00:00,9
"173",1503960366,2016-04-19 04:00:00,0
"174",1503960366,2016-04-19 05:00:00,0
"175",1503960366,2016-04-19 06:00:00,7
"176",1503960366,2016-04-19 07:00:00,316
"177",1503960366,2016-04-19 08:00:00,1656
"178",1503960366,2016-04-19 09:00:00,367
"179",1503960366,2016-04-19 10:00:00,203
"180",1503960366,2016-04-19 11:00:00,194
"181",1503960366,2016-04-19 12:00:00,1887
"182",1503960366,2016-04-19 13:00:00,2697
"183",1503960366,2016-04-19 14:00:00,409
"184",1503960366,2016-04-19 15:00:00,299
"185",1503960366,2016-04-19 16:00:00,297
"186",1503960366,2016-04-19 17:00:00,732
"187",1503960366,2016-04-19 18:00:00,1280
"188",1503960366,2016-04-19 19:00:00,397
"189",1503960366,2016-04-19 20:00:00,2487
"190",1503960366,2016-04-19 21:00:00,826
"191",1503960366,2016-04-19 22:00:00,52
"192",1503960366,2016-04-19 23:00:00,1369
"193",1503960366,2016-04-20 00:00:00,16
"194",1503960366,2016-04-20 01:00:00,36
"195",1503960366,2016-04-20 02:00:00,0
"196",1503960366,2016-04-20 03:00:00,0
"197",1503960366,2016-04-20 04:00:00,0
"198",1503960366,2016-04-20 05:00:00,0
"199",1503960366,2016-04-20 06:00:00,0
"200",1503960366,2016-04-20 07:00:00,29
"201",1503960366,2016-04-20 08:00:00,264
"202",1503960366,2016-04-20 09:00:00,1993
"203",1503960366,2016-04-20 10:00:00,459
"204",1503960366,2016-04-20 11:00:00,65
"205",1503960366,2016-04-20 12:00:00,185
"206",1503960366,2016-04-20 13:00:00,64
"207",1503960366,2016-04-20 14:00:00,1270
"208",1503960366,2016-04-20 15:00:00,797
"209",1503960366,2016-04-20 16:00:00,261
"210",1503960366,2016-04-20 17:00:00,13
"211",1503960366,2016-04-20 18:00:00,1308
"212",1503960366,2016-04-20 19:00:00,1558
"213",1503960366,2016-04-20 20:00:00,499
"214",1503960366,2016-04-20 21:00:00,395
"215",1503960366,2016-04-20 22:00:00,77
"216",1503960366,2016-04-20 23:00:00,1255
"217",1503960366,2016-04-21 00:00:00,17
"218",1503960366,2016-04-21 01:00:00,129
"219",1503960366,2016-04-21 02:00:00,81
"220",1503960366,2016-04-21 03:00:00,0
"221",1503960366,2016-04-21 04:00:00,0
"222",1503960366,2016-04-21 05:00:00,0
"223",1503960366,2016-04-21 06:00:00,0
"224",1503960366,2016-04-21 07:00:00,38
"225",1503960366,2016-04-21 08:00:00,245
"226",1503960366,2016-04-21 09:00:00,1672
"227",1503960366,2016-04-21 10:00:00,255
"228",1503960366,2016-04-21 11:00:00,0
"229",1503960366,2016-04-21 12:00:00,384
"230",1503960366,2016-04-21 13:00:00,1140
"231",1503960366,2016-04-21 14:00:00,12
"232",1503960366,2016-04-21 15:00:00,213
"233",1503960366,2016-04-21 16:00:00,26
"234",1503960366,2016-04-21 17:00:00,96
"235",1503960366,2016-04-21 18:00:00,213
"236",1503960366,2016-04-21 19:00:00,100
"237",1503960366,2016-04-21 20:00:00,3541
"238",1503960366,2016-04-21 21:00:00,970
"239",1503960366,2016-04-21 22:00:00,89
"240",1503960366,2016-04-21 23:00:00,598
"241",1503960366,2016-04-22 00:00:00,0
"242",1503960366,2016-04-22 01:00:00,0
"243",1503960366,2016-04-22 02:00:00,0
"244",1503960366,2016-04-22 03:00:00,0
"245",1503960366,2016-04-22 04:00:00,0
"246",1503960366,2016-04-22 05:00:00,0
"247",1503960366,2016-04-22 06:00:00,0
"248",1503960366,2016-04-22 07:00:00,0
"249",1503960366,2016-04-22 08:00:00,0
"250",1503960366,2016-04-22 09:00:00,192
"251",1503960366,2016-04-22 10:00:00,29
"252",1503960366,2016-04-22 11:00:00,958
"253",1503960366,2016-04-22 12:00:00,38
"254",1503960366,2016-04-22 13:00:00,118
"255",1503960366,2016-04-22 14:00:00,0
"256",1503960366,2016-04-22 15:00:00,180
"257",1503960366,2016-04-22 16:00:00,22
"258",1503960366,2016-04-22 17:00:00,1041
"259",1503960366,2016-04-22 18:00:00,514
"260",1503960366,2016-04-22 19:00:00,629
"261",1503960366,2016-04-22 20:00:00,329
"262",1503960366,2016-04-22 21:00:00,5934
"263",1503960366,2016-04-22 22:00:00,855
"264",1503960366,2016-04-22 23:00:00,1925
"265",1503960366,2016-04-23 00:00:00,182
"266",1503960366,2016-04-23 01:00:00,0
"267",1503960366,2016-04-23 02:00:00,11
"268",1503960366,2016-04-23 03:00:00,0
"269",1503960366,2016-04-23 04:00:00,0
"270",1503960366,2016-04-23 05:00:00,0
"271",1503960366,2016-04-23 06:00:00,12
"272",1503960366,2016-04-23 07:00:00,0
"273",1503960366,2016-04-23 08:00:00,127
"274",1503960366,2016-04-23 09:00:00,285
"275",1503960366,2016-04-23 10:00:00,49
"276",1503960366,2016-04-23 11:00:00,703
"277",1503960366,2016-04-23 12:00:00,1597
"278",1503960366,2016-04-23 13:00:00,1453
"279",1503960366,2016-04-23 14:00:00,202
"280",1503960366,2016-04-23 15:00:00,158
"281",1503960366,2016-04-23 16:00:00,2008
"282",1503960366,2016-04-23 17:00:00,1472
"283",1503960366,2016-04-23 18:00:00,2569
"284",1503960366,2016-04-23 19:00:00,29
"285",1503960366,2016-04-23 20:00:00,142
"286",1503960366,2016-04-23 21:00:00,2432
"287",1503960366,2016-04-23 22:00:00,709
"288",1503960366,2016-04-23 23:00:00,231
"289",1503960366,2016-04-24 00:00:00,141
"290",1503960366,2016-04-24 01:00:00,42
"291",1503960366,2016-04-24 02:00:00,0
"292",1503960366,2016-04-24 03:00:00,0
"293",1503960366,2016-04-24 04:00:00,8
"294",1503960366,2016-04-24 05:00:00,0
"295",1503960366,2016-04-24 06:00:00,7
"296",1503960366,2016-04-24 07:00:00,0
"297",1503960366,2016-04-24 08:00:00,8
"298",1503960366,2016-04-24 09:00:00,76
"299",1503960366,2016-04-24 10:00:00,492
"300",1503960366,2016-04-24 11:00:00,149
"301",1503960366,2016-04-24 12:00:00,548
"302",1503960366,2016-04-24 13:00:00,394
"303",1503960366,2016-04-24 14:00:00,26
"304",1503960366,2016-04-24 15:00:00,27
"305",1503960366,2016-04-24 16:00:00,885
"306",1503960366,2016-04-24 17:00:00,411
"307",1503960366,2016-04-24 18:00:00,911
"308",1503960366,2016-04-24 19:00:00,4871
"309",1503960366,2016-04-24 20:00:00,342
"310",1503960366,2016-04-24 21:00:00,244
"311",1503960366,2016-04-24 22:00:00,66
"312",1503960366,2016-04-24 23:00:00,391
"313",1503960366,2016-04-25 00:00:00,95
"314",1503960366,2016-04-25 01:00:00,22
"315",1503960366,2016-04-25 02:00:00,97
"316",1503960366,2016-04-25 03:00:00,0
"317",1503960366,2016-04-25 04:00:00,25
"318",1503960366,2016-04-25 05:00:00,4
"319",1503960366,2016-04-25 06:00:00,0
"320",1503960366,2016-04-25 07:00:00,44
"321",1503960366,2016-04-25 08:00:00,426
"322",1503960366,2016-04-25 09:00:00,2041
"323",1503960366,2016-04-25 10:00:00,258
"324",1503960366,2016-04-25 11:00:00,1468
"325",1503960366,2016-04-25 12:00:00,707
"326",1503960366,2016-04-25 13:00:00,299
"327",1503960366,2016-04-25 14:00:00,94
"328",1503960366,2016-04-25 15:00:00,359
"329",1503960366,2016-04-25 16:00:00,263
"330",1503960366,2016-04-25 17:00:00,188
"331",1503960366,2016-04-25 18:00:00,116
"332",1503960366,2016-04-25 19:00:00,2815
"333",1503960366,2016-04-25 20:00:00,895
"334",1503960366,2016-04-25 21:00:00,4895
"335",1503960366,2016-04-25 22:00:00,188
"336",1503960366,2016-04-25 23:00:00,56
"337",1503960366,2016-04-26 00:00:00,101
"338",1503960366,2016-04-26 01:00:00,178
"339",1503960366,2016-04-26 02:00:00,0
"340",1503960366,2016-04-26 03:00:00,145
"341",1503960366,2016-04-26 04:00:00,0
"342",1503960366,2016-04-26 05:00:00,7
"343",1503960366,2016-04-26 06:00:00,0
"344",1503960366,2016-04-26 07:00:00,28
"345",1503960366,2016-04-26 08:00:00,173
"346",1503960366,2016-04-26 09:00:00,1826
"347",1503960366,2016-04-26 10:00:00,666
